"drug","patient_count"
"furose","1"
"Morphi","1"
"Morphin","1"
"Viokase-8","1"
"Forteo","1"
"Morphine S","1"
"formoterol fumarate","1"
"Morphine Sul","1"
"Morphine Sulfat","1"
"Fomepizole","1"
"FoLIC ","1"
"Fluticasone-Salmeterol","1"
"flutic","1"
"Morphine Sulfate (PF)","1"
"Morphine Topical Gel","1"
"Movantik","1"
"Fluocinolone Acetonide 0.025% Ointment","1"
"Acetylcyste","1"
"Fluocinolone Acetonide 0.025% Cream","1"
"Fluocinolone Acetonide 0.01% Solution","1"
"Fluocinolone Acetonide 0.01% Cream","1"
"Multiv","1"
"Multivita","1"
"Multivitam","1"
"Multivitami","1"
"Multivitamin","1"
"Flunisolide Inhaler","1"
"fludrocortisone","1"
"Flucytosine","1"
"acetyl","1"
"mupirocin","1"
"Flovent HFA","1"
"fidaxomicin","1"
"Mycophenolate Mofetil Suspension","1"
"Myfortic","1"
"Acetic Acid 3% (For Topical Irrigation)","1"
"Acetic Acid 2% Otic Solution","1"
"Ferric Citrate","1"
"Nafcillin Desensitization","1"
"Nalbuphine HCl","1"
"naloxegol","1"
"naloxegol (Movanitk)","1"
"Acetaminophen 325mg TAB","1"
"Naloxone Nasal Spray","1"
"naltrexone","1"
"Naltrexone","1"
"fentaNYL Citrate","1"
"fenofibrate","1"
"Nasonex (mometasone)","1"
"Nateglinide","1"
"nebivolol","1"
"Nefazodone","1"
"Nefazodone HCl","1"
"Neomycin-Polymyxin-Bacitracin Ophth. Oint","1"
"Neomycin-Polymyxin-HC Otic Susp","1"
"Famotidine (PO)","1"
"famotidine","1"
"famciclovir","1"
"NeuLumEX (Barium Sulfate 0.1% Suspension)","1"
"Neurontin","1"
"Factor 8 recombinant","1"
"NexIUM","1"
"NiCARdipine","1"
